"시점","투자현황별(1)","현황별(1)",현황별(2),데이터
"2020","기업 연구개발비 (백만원)","지역별",서울,494396
"2020","기업 연구개발비 (백만원)","지역별",부산,5104
"2020","기업 연구개발비 (백만원)","지역별",인천,324734
"2020","기업 연구개발비 (백만원)","지역별",대구,88321
"2020","기업 연구개발비 (백만원)","지역별",광주,3084
"2020","기업 연구개발비 (백만원)","지역별",대전,482565
"2020","기업 연구개발비 (백만원)","지역별",울산,47834
"2020","기업 연구개발비 (백만원)","지역별",세종,9679
"2020","기업 연구개발비 (백만원)","지역별",경기,2995813
"2020","기업 연구개발비 (백만원)","지역별",강원,101891
"2020","기업 연구개발비 (백만원)","지역별",충북,535130
"2020","기업 연구개발비 (백만원)","지역별",충남,90546
"2020","기업 연구개발비 (백만원)","지역별",전북,52031
"2020","기업 연구개발비 (백만원)","지역별",전남,9734
"2020","기업 연구개발비 (백만원)","지역별",경북,33898
"2020","기업 연구개발비 (백만원)","지역별",경남,10101
"2020","기업 연구개발비 (백만원)","지역별",제주,6802
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1492979
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,130423
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,101674
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,13291
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,150872
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,19179
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,11986
"2020","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,159801
"2020","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,372986
"2020","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,616388
"2020","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,326964
"2020","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,756541
"2020","바이오 연구개발비 (백만원)","총 종사자규모별",미상,7326
"2020","바이오 연구개발비 (백만원)","지역별",서울,269971
"2020","바이오 연구개발비 (백만원)","지역별",부산,3104
"2020","바이오 연구개발비 (백만원)","지역별",인천,270876
"2020","바이오 연구개발비 (백만원)","지역별",대구,6177
"2020","바이오 연구개발비 (백만원)","지역별",광주,2884
"2020","바이오 연구개발비 (백만원)","지역별",대전,151345
"2020","바이오 연구개발비 (백만원)","지역별",울산,25571
"2020","바이오 연구개발비 (백만원)","지역별",세종,5379
"2020","바이오 연구개발비 (백만원)","지역별",경기,784983
"2020","바이오 연구개발비 (백만원)","지역별",강원,85176
"2020","바이오 연구개발비 (백만원)","지역별",충북,370366
"2020","바이오 연구개발비 (백만원)","지역별",충남,24729
"2020","바이오 연구개발비 (백만원)","지역별",전북,25302
"2020","바이오 연구개발비 (백만원)","지역별",전남,7519
"2020","바이오 연구개발비 (백만원)","지역별",경북,33783
"2020","바이오 연구개발비 (백만원)","지역별",경남,9244
"2020","바이오 연구개발비 (백만원)","지역별",제주,3796
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 의약,2823693
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,2131264
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 식품,193172
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 환경,25505
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,288690
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,29507
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 자원,40132
"2021","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,251472
"2021","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,552873
"2021","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,1030862
"2021","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,748778
"2021","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,3440450
"2021","기업 연구개발비 (백만원)","총 종사자규모별",미상,10472
"2021","기업 연구개발비 (백만원)","지역별",서울,674672
"2021","기업 연구개발비 (백만원)","지역별",부산,3038
"2021","기업 연구개발비 (백만원)","지역별",인천,270462
"2021","기업 연구개발비 (백만원)","지역별",대구,88315
"2021","기업 연구개발비 (백만원)","지역별",광주,3747
"2021","기업 연구개발비 (백만원)","지역별",대전,515909
"2021","기업 연구개발비 (백만원)","지역별",울산,48763
