"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"29技","19技",28,19,24,20,9
"29技","20技",42,23,44,31,25
"29技","21技",76,69,66,63,46
"29技","22技",147,129,112,94,87
"29技","23技",252,227,205,172,153
"29技","24技",543,495,391,364,291
"29技","25技",1197,928,784,660,636
"29技","26技",1964,1748,1418,1249,1094
"29技","27技",2554,2315,2067,1784,1602
"29技","28技",3070,2925,2783,2476,2192
"29技","29技",4083,3619,3662,3347,3037
"29技","30技",1879,1836,1762,1694,1715
"29技","31技",949,883,819,843,827
"29技","32技",535,509,474,485,514
"29技","33技",334,287,287,281,286
"29技","34技",175,185,149,170,164
"29技","35技",117,124,92,106,91
"29技","36技",76,67,66,55,72
"29技","37技",38,54,45,42,43
"29技","38技",26,37,31,24,22
"29技","39技",15,14,18,21,13
"29技","40 - 44技",37,24,36,19,32
"29技","45 - 49技",7,3,5,4,4
"29技","50 - 54技",2,1,1,3,0
"29技","55 - 59技",0,0,0,0,0
"29技","60 - 64技",0,1,0,0,0
"29技","65 - 69技",0,0,0,0,0
"29技","70 - 74技",0,0,0,0,0
"29技","75技捞惑",0,0,0,0,0
"30技","15技",0,0,0,0,0
"30技","16技",2,1,0,0,0
"30技","17技",2,1,2,1,0
"30技","18技",16,15,3,3,5
"30技","19技",32,20,16,18,21
"30技","20技",33,21,36,24,26
"30技","21技",56,60,52,28,46
"30技","22技",136,109,74,90,62
"30技","23技",225,178,147,123,120
"30技","24技",436,387,345,251,241
"30技","25技",885,727,658,506,483
"30技","26技",1720,1447,1267,997,938
"30技","27技",2405,2170,1914,1587,1466
"30技","28技",2733,2551,2559,2117,1962
"30技","29技",3407,3015,2802,2740,2699
"30技","30技",3813,3390,3262,3042,3097
"30技","31技",1795,1676,1669,1494,1587
"30技","32技",845,790,798,719,782
"30技","33技",479,456,466,416,465
"30技","34技",309,230,286,256,254
"30技","35技",167,154,131,148,166
"30技","36技",92,115,94,91,81
"30技","37技",63,59,48,62,57
"30技","38技",39,50,40,29,32
"30技","39技",21,23,29,26,23
"30技","40 - 44技",47,38,45,41,58
"30技","45 - 49技",6,9,6,6,6
"30技","50 - 54技",0,0,2,1,2
"30技","55 - 59技",0,1,0,0,0
"30技","60 - 64技",0,0,0,0,0
"30技","65 - 69技",0,1,0,0,0
"30技","70 - 74技",0,0,0,0,0
"30技","75技捞惑",0,0,0,0,0
"31技","15技",2,1,0,1,0
"31技","16技",0,0,0,0,1
"31技","17技",1,0,1,0,0
"31技","18技",13,12,1,2,3
"31技","19技",20,19,10,10,10
"31技","20技",43,24,16,17,17
"31技","21技",50,53,34,27,34
"31技","22技",130,98,69,39,53
"31技","23技",167,157,149,124,100
"31技","24技",379,297,234,202,160
"31技","25技",736,608,486,367,348
"31技","26技",1467,1195,927,790,701
"31技","27技",2246,1842,1661,1330,1204
"31技","28技",2589,2375,2240,1900,1690
"31技","29技",2960,2677,2523,2442,2227
"31技","30技",3025,2766,2708,2462,2603
"31技","31技",3317,2926,2849,2658,2705
"31技","32技",1520,1421,1370,1355,1338
"31技","33技",736,675,681,644,695
"31技","34技",448,365,423,336,371
"31技","35技",276,271,210,222,248
"31技","36技",165,142,137,106,126
"31技","37技",108,85,92,74,74
"31技","38技",53,56,57,36,52
"31技","39技",31,47,28,40,29
"31技","40 - 44技",70,65,46,63,49
"31技","45 - 49技",11,9,9,10,6
"31技","50 - 54技",1,1,3,3,0
"31技","55 - 59技",0,0,0,0,0
"31技","60 - 64技",0,0,0,0,0
"31技","65 - 69技",0,0,0,0,0
"31技","70 - 74技",0,0,0,0,0
"31技","75技捞惑",0,0,0,0,0
"32技","15技",0,0,0,0,0
"32技","16技",0,1,0,0,0
"32技","17技",3,0,1,0,0
"32技","18技",12,21,9,3,2
"32技","19技",25,19,16,5,10
"32技","20技",42,25,16,20,14
"32技","21技",65,48,33,29,26
"32技","22技",118,69,63,41,48
"32技","23技",192,144,117,74,88
"32技","24技",307,223,214,172,154
"32技","25技",605,485,372,299,285
"32技","26技",1074,932,701,587,550
"32技","27技",1631,1522,1267,1030,889
"32技","28技",2225,1995,1799,1520,1378
"32技","29技",2601,2390,2328,2016,2034
"32技","30技",2638,2343,2248,2109,2066
"32技","31技",2512,2392,2201,2091,2181
"32技","32技",2548,2392,2298,2155,2182
"32技","33技",1282,1156,1102,1059,1126
"32技","34技",642,564,557,468,546
"32技","35技",374,351,326,283,318
"32技","36技",227,208,184,167,185
"32技","37技",133,126,108,117,95
"32技","38技",90,77,70,81,62
"32技","39技",50,46,46,50,38
